timestamp	id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
1380966777	1000001	1.309	1.489		1.519		        Carrefour Market	        Carrefour Market	ROUTE NATIONALE 01000 SAINT-DENIS-LÈS-BOURG
1380984877	1000002	1.309	1.489		1.519		        Carrefour Market	        Carrefour Market	16 Avenue de Marboz 01000 BOURG-EN-BRESSE
1380981024	1000004	1.420	1.570			0.950	        Total	        SARL WALES DISTRIBUTION	20 Avenue du Maréchal Juin 01000 BOURG-EN-BRESSE
1380972120	1000005	1.420		1.480	1.560		        Total	        RELAIS DES VAVRES	642 Avenue de Trévoux 01000 SAINT-DENIS-LÈS-BOURG
1380965374	1000006	1.359	1.549		1.569		        Casino	        CASINO SUPERMARCHE	1 Boulevard John Kennedy 01000 BOURG-EN-BRESSE
1380975081	1000007	1.309	1.489	1.452	1.519		        Leclerc	        CENTRE E. LECLERC	Avenue Amédée Mercier 01000 BOURG-EN-BRESSE
1380977213	1000008	1.309	1.489	1.452	1.519		        Carrefour	        Carrefour   bourg en bresse	Bd Charles de Gaulle 01000 BOURG-EN-BRESSE
1380969758	1000009	1.309	1.489	1.452	1.519		        Intermarché	        INTERMARCHE BOURG EN BRESSE	56 Rue du Stand 01000 BOURG-EN-BRESSE
1380978873	1000010	1.309		1.453	1.529		        Total Access	        TOTAL ACCESS	Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE
1380966666	1090001	1.292	1.472	1.578	1.502		        Simply Market	        SIMPLY MARKET	LE GRAND RIVOLET 01090 MONTCEAUX
1380967171	1100001	1.299	1.479	1.459		0.840	        Géant	        GEANT CASINO	ROUTE DE DORTAN 01100 ARBENT
1380963728	1100002	1.299	1.479		1.542		        Carrefour Market	        Carrefour Market	Rue Brillat-Savarin 01100 OYONNAX
1380959089	1100003	1.373		1.489	1.569	0.880	        Total	        RELAIS DES CRETETS	174 Cours de Verdun 01100 OYONNAX
1380961044	1100004	1.359	1.535		1.575		        Avia	        STATION SERVICE AVIA	886 AVENUE JEAN COUTTY 01100 ARBENT - OYONNAX
1380969194	1100006	1.319	1.501				        Intermarché	        DB OYONNAX	74 Rue Jules Michelet 01100 OYONNAX
1380969716	1110001	1.319	1.509		1.549		        Carrefour Market	        Carrefour Market	Rue Massonod 01110 HAUTEVILLE-LOMPNES
1380983508	1120002	1.449		1.579	1.669		        Total	        RELAIS DE DAGNEUX	AUTOROUTE A 42 01120 DAGNEUX
1380988751	1120004	1.289	1.471		1.525		        Système U	        SUPER U MONTLUEL	Cours de la Portelle 01120 MONTLUEL
1380974300	1120005	1.289	1.471	1.441	1.525		        Intermarché	        INTERMARCHE LA BOISSE-MONTLUEL	Route de Thil 01120 LA BOISSE
1380977958	1120006	1.430		1.570	1.650		        Total	        GARAGE DE LA BOISSE	521 ROUTE NATIONALE 01120 LA BOISSE
1380962194	1120007	1.469		1.589	1.750		        Shell	        SHELL	AUTOROUTE A42, AIRE DE LYON-DAGNEUX 01120 DAGNEUX
1380964730	1130001	1.302		1.459	1.512		        Elf	        RELAIS ELF  RESIDENCE	ROUTE DE LA CLUSE 01130 NANTUA
1380979153	1130002	1.345	1.522		1.577		        Avia	        SARL GARAGE MEUNIER	Moulin de Charix 01130 LALLEYRIAT
1380965418	1140001	1.329	1.519				        Carrefour Contact	        CARREFOUR CONTACT	LES HUGUETS 01140 SAINT-DIDIER-SUR-CHALARONNE
1380972290	1150001	1.289	1.479		1.499		        Carrefour Market	        Carrefour Market	8 RUE DE L&#039;INDUSTRIE 01150 LAGNIEU
1380989148	1150002	1.360		1.511	1.591		        Total	        TOTAL SAINT VULBAS	Avenue Charles de Gaulle 01150 SAINT-VULBAS
1380989764	1160001	1.289		1.435			        Total Access	        RELAIS DU CHENE	Route de bourg 01160 PONT-D&#039;AIN
1380963472	1160002	1.300	1.480	1.430	1.490		        Système U	        SUPER U	Le Pont Rompu - RD 1084 01160 PONT-D&#039;AIN
1380967719	1160003	1.279	1.469		1.499		        Ecomarché	        ECOMARCHE NEUVILLE SUR AIN	Rue du Docteur Hubert 01160 NEUVILLE-SUR-AIN
1380985492	1170001	1.295	1.499		1.545		        Carrefour	        CARREFOUR SEGNY	RN5 01170 SÉGNY
1380990111	1170002	1.339	1.509		1.539		        Carrefour Market	        Carrefour Market	Lieu-Dit les Vertes Campagnes 01170 GEX
1380965626	1170003	1.340	1.510		1.540		        Intermarché	        INTERMARCHE GEX	Route de Divonne les Bains 01170 GEX
1380982912	1170005	1.345	1.522				        Avia	        Station des Tilleuls	Avenue des Tilleuls 01170 GEX
1380963517	1190001	1.312	1.501		1.555		        Atac	        ATAC Saint Bénigne	PAE Pont de Vaux Est 01190 SAINT BÉNIGNE
1380982262	1200001	1.299	1.513		1.549		        Carrefour Market	        Carrefour Market	69 Rue de la République 01200 BELLEGARDE-SUR-VALSERINE
1380982264	1200003	1.299	1.498	1.472	1.529		        Carrefour Market	        CARREFOUR MARKET HYPER	Avenue Maréchal de Lattre de Tassigny 01200 BELLEGARDE-SUR-VALSERINE
1380984718	1210001	1.299	1.515		1.545		        Carrefour	        CARREFOUR FERNEY VOLTAIRE	Chemin de la Brunette 01210 FERNEY-VOLTAIRE
1380978005	1210002	1.390	1.550		1.630		        Total	        GARAGE DUNAND	ROUTE DE GENEVE 01210 FERNEY-VOLTAIRE
1380990365	1210003	1.295	1.499	1.435			        Leclerc	        CENTRE E.LECLERC	Route de Meyrin 01210 FERNEY-VOLTAIRE
1380974119	1220001	1.339	1.526		1.561		        Carrefour Market	        Carrefour Market	AVENUE MONT MUSSY 01220 DIVONNE-LES-BAINS
1380962976	1230002	1.370	1.540		1.590		        Avia	        SARL MATHY GARAGE DE L EUROPE	38 AVENUE DE L EUROPE 01230 SAINT-RAMBERT-EN-BUGEY
1380989015	1230003	1.390	1.560		1.590		        Elan	        STATION ELAN GARAGE BOLLEY	RD 1504 01230 TORCIEU
1380959569	1240001	1.410	1.590				        Indépendant sans enseigne	        GARAGE CHAUDIER	LE BOURG 01240 DOMPIERRE-SUR-VEYLE
1380968862	1250001	1.464		1.604	1.684	0.940	        Total	        RELAIS BOURG JASSERON	A 40 - AIRE DE BOURG JASSERON 01250 JASSERON
1380969892	1250002	1.470		1.600		0.960	        BP	        BP A40 AIRE DE BOURG TEYSONGUE	AIRE DE BOURG TEYSONGUE A 40 01250 CEYZÉRIAT
1380983906	1250004	1.399	1.579				        Avia	        AVIA	route de la Vavrette 01250 TOSSIAT
1380965982	1270002	1.409	1.589		1.619		        Avia	        Station des sens	Grande Rue 01270 COLIGNY
1380989200	1290001	1.290	1.490		1.490		        Système U	        SUPER U	Route de Chatillon Sur Chalaronne 01290 LAIZ
1380961932	1300001	1.329	1.510		1.539		        Carrefour Market	        Carrefour Market	ZAC DE L#039;OUSSON 01300 BELLEY
1380980366	1300002	1.288	1.489		1.519		        Simply Market	        SIMPLY MARKET	Rue Mante 01300 BELLEY
1380970540	1300003	1.289	1.468		1.503		        Intermarché	        INTERMARCHE CHAZEY BONS	RN 504 - ZI de Penaye 01300 CHAZEY-BONS
1380967591	1310001	1.416	1.594	1.593	1.673		        Total	        GARAGE GUIGUE SA	1123 Route de Mâcon 01310 POLLIAT
1380962020	1320001	1.400	1.590				        Elan	        SARL JACQUET AUTOMOBILES	Grande Rue 01320 CHALAMONT
1380970309	1330001	1.389	1.619				        Total	        SARL BUTILLON	245, Route du 3 Septembre 1944 01330 AMBÉRIEUX-EN-DOMBES
1380972335	1330002	1.289	1.479	1.449	1.589		        Système U	        super u	zac de la tuilerie 01330 VILLARS-LES-DOMBES
