timestamp	id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
1382608742	1000001	1.291	1.489		1.519		        Carrefour Market	        Carrefour Market	ROUTE NATIONALE 01000 SAINT-DENIS-LÈS-BOURG
1382610957	1000002	1.291	1.489		1.519		        Carrefour Market	        Carrefour Market	16 Avenue de Marboz 01000 BOURG-EN-BRESSE
1382610204	1000004	1.430	1.590			0.950	        Total	        SARL WALES DISTRIBUTION	20 Avenue du Maréchal Juin 01000 BOURG-EN-BRESSE
1382617820	1000005	1.400		1.500	1.580		        Total	        RELAIS DES VAVRES	642 Avenue de Trévoux 01000 SAINT-DENIS-LÈS-BOURG
1382608636	1000006	1.319	1.529		1.569		        Casino	        CASINO SUPERMARCHE	1 Boulevard John Kennedy 01000 BOURG-EN-BRESSE
1382617452	1000007	1.291	1.489	1.449	1.519		        Leclerc	        CENTRE E. LECLERC	Avenue Amédée Mercier 01000 BOURG-EN-BRESSE
1382613791	1000008	1.291	1.489	1.449	1.519		        Carrefour	        Carrefour   bourg en bresse	Bd Charles de Gaulle 01000 BOURG-EN-BRESSE
1382625355	1000009	1.291	1.489	1.449	1.519		        Intermarché	        INTERMARCHE BOURG EN BRESSE	56 Rue du Stand 01000 BOURG-EN-BRESSE
1382604608	1000010	1.292		1.449	1.529		        Total Access	        TOTAL ACCESS	Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE
1382626352	1090001	1.288	1.470	1.578	1.501		        Simply Market	        SIMPLY MARKET	LE GRAND RIVOLET 01090 MONTCEAUX
1382616086	1100001	1.299	1.479	1.459		0.840	        Géant	        GEANT CASINO	ROUTE DE DORTAN 01100 ARBENT
1382626097	1100002	1.299	1.479		1.542		        Carrefour Market	        Carrefour Market	Rue Brillat-Savarin 01100 OYONNAX
1382624790	1100003	1.374		1.509	1.589	0.880	        Total	        RELAIS DES CRETETS	174 Cours de Verdun 01100 OYONNAX
1382620168	1100004	1.377	1.558		1.599		        Avia	        STATION SERVICE AVIA	886 AVENUE JEAN COUTTY 01100 ARBENT - OYONNAX
1382629566	1100006	1.299	1.479				        Intermarché	        DB OYONNAX	74 Rue Jules Michelet 01100 OYONNAX
1382608135	1110001	1.335	1.519		1.559		        Carrefour Market	        Carrefour Market	Rue Massonod 01110 HAUTEVILLE-LOMPNES
1382602484	1120002	1.449		1.579	1.669		        Total	        RELAIS DE DAGNEUX	AUTOROUTE A 42 01120 DAGNEUX
1382601734	1120004	1.295	1.477		1.531		        Système U	        SUPER U MONTLUEL	Cours de la Portelle 01120 MONTLUEL
1382610169	1120005	1.289	1.471	1.449	1.531		        Intermarché	        INTERMARCHE LA BOISSE-MONTLUEL	Route de Thil 01120 LA BOISSE
1382614800	1120006	1.410		1.560	1.640		        Total	        GARAGE DE LA BOISSE	521 ROUTE NATIONALE 01120 LA BOISSE
1382631281	1120007	1.459		1.579	1.750		        Shell	        SHELL	AUTOROUTE A42, AIRE DE LYON-DAGNEUX 01120 DAGNEUX
1382600911	1130001	1.299		1.459	1.509		        Elf	        RELAIS ELF  RESIDENCE	ROUTE DE LA CLUSE 01130 NANTUA
1382612212	1130002	1.355	1.533		1.588		        Avia	        SARL GARAGE MEUNIER	Moulin de Charix 01130 LALLEYRIAT
1382620488	1140001	1.329	1.515				        Carrefour Contact	        CARREFOUR CONTACT	LES HUGUETS 01140 SAINT-DIDIER-SUR-CHALARONNE
1382605764	1150001	1.299	1.479	1.489	1.499		        Carrefour Market	        Carrefour Market	8 RUE DE L&#039;INDUSTRIE 01150 LAGNIEU
1382616638	1150002	1.360		1.534	1.614		        Total	        TOTAL SAINT VULBAS	Avenue Charles de Gaulle 01150 SAINT-VULBAS
1382621924	1160001	1.309		1.445			        Total Access	        RELAIS DU CHENE	Route de bourg 01160 PONT-D&#039;AIN
1382616888	1160002	1.300	1.480	1.430	1.500		        Système U	        SUPER U	Le Pont Rompu - RD 1084 01160 PONT-D&#039;AIN
1382619847	1160003	1.307	1.479		1.519		        Ecomarché	        ECOMARCHE NEUVILLE SUR AIN	Rue du Docteur Hubert 01160 NEUVILLE-SUR-AIN
1382609276	1170001	1.299	1.490		1.529		        Carrefour	        CARREFOUR SEGNY	RN5 01170 SÉGNY
1382607299	1170002	1.329	1.519		1.549		        Carrefour Market	        Carrefour Market	Lieu-Dit les Vertes Campagnes 01170 GEX
1382625009	1170003	1.320	1.520		1.550		        Intermarché	        INTERMARCHE GEX	Route de Divonne les Bains 01170 GEX
1382624352	1170005	1.363	1.544				        Avia	        Station des Tilleuls	Avenue des Tilleuls 01170 GEX
1382607834	1190001	1.312	1.496		1.533		        Atac	        ATAC Saint Bénigne	PAE Pont de Vaux Est 01190 SAINT BÉNIGNE
1382625686	1200001	1.304	1.498		1.529		        Carrefour Market	        Carrefour Market	69 Rue de la République 01200 BELLEGARDE-SUR-VALSERINE
1382610102	1200003	1.304	1.498	1.472	1.529		        Carrefour Market	        CARREFOUR MARKET HYPER	Avenue Maréchal de Lattre de Tassigny 01200 BELLEGARDE-SUR-VALSERINE
1382627852	1210001	1.304	1.497		1.529		        Carrefour	        CARREFOUR FERNEY VOLTAIRE	Chemin de la Brunette 01210 FERNEY-VOLTAIRE
1382615898	1210002	1.390	1.550		1.630		        Total	        GARAGE DUNAND	ROUTE DE GENEVE 01210 FERNEY-VOLTAIRE
1382615683	1210003	1.299	1.490	1.435			        Leclerc	        CENTRE E.LECLERC	Route de Meyrin 01210 FERNEY-VOLTAIRE
1382616740	1220001	1.321	1.501		1.546		        Carrefour Market	        Carrefour Market	AVENUE MONT MUSSY 01220 DIVONNE-LES-BAINS
1382609924	1230002	1.370	1.560		1.590		        Avia	        SARL MATHY GARAGE DE L EUROPE	38 AVENUE DE L EUROPE 01230 SAINT-RAMBERT-EN-BUGEY
1382603628	1230003	1.390	1.560		1.590		        Elan	        STATION ELAN GARAGE BOLLEY	RD 1504 01230 TORCIEU
1382614766	1240001	1.430	1.590				        Indépendant sans enseigne	        GARAGE CHAUDIER	LE BOURG 01240 DOMPIERRE-SUR-VEYLE
1382620134	1250001	1.454		1.594	1.674	0.940	        Total	        RELAIS BOURG JASSERON	A 40 - AIRE DE BOURG JASSERON 01250 JASSERON
1382612534	1250002	1.460		1.600		0.960	        BP	        BP A40 AIRE DE BOURG TEYSONGUE	AIRE DE BOURG TEYSONGUE A 40 01250 CEYZÉRIAT
1382606348	1250004	1.369	1.559				        Avia	        AVIA	route de la Vavrette 01250 TOSSIAT
1382602778	1270002	1.409	1.589		1.619		        Avia	        Station des sens	Grande Rue 01270 COLIGNY
1382613415	1290001	0.129	1.470		1.510		        Système U	        SUPER U	Route de Chatillon Sur Chalaronne 01290 LAIZ
