timestamp	id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
1385306540	1000001	1.282	1.491		1.530		        Carrefour Market	        Carrefour Market	ROUTE NATIONALE 01000 SAINT-DENIS-LÈS-BOURG
1385308019	1000002	1.282	1.491		1.530		        Carrefour Market	        Carrefour Market	16 Avenue de Marboz 01000 BOURG-EN-BRESSE
1385294372	1000004	1.420	1.580			0.950	        Total	        SARL WALES DISTRIBUTION	20 Avenue du Maréchal Juin 01000 BOURG-EN-BRESSE
1385291247	1000005	1.390		1.500	1.580		        Total	        RELAIS DES VAVRES	642 Avenue de Trévoux 01000 SAINT-DENIS-LÈS-BOURG
1385295668	1000006	1.299	1.529		1.569		        Casino	        CASINO SUPERMARCHE	1 Boulevard John Kennedy 01000 BOURG-EN-BRESSE
1385308110	1000007	1.277	1.486	1.442	1.525		        Leclerc	        CENTRE E. LECLERC	Avenue Amédée Mercier 01000 BOURG-EN-BRESSE
1385285652	1000008	1.282	1.491	1.447	1.530		        Carrefour	        Carrefour   bourg en bresse	Bd Charles de Gaulle 01000 BOURG-EN-BRESSE
1385310032	1000009	1.282	1.491	1.447	1.530		        Intermarché	        INTERMARCHE BOURG EN BRESSE	56 Rue du Stand 01000 BOURG-EN-BRESSE
1385299225	1000010	1.279		1.457	1.532		        Total Access	        TOTAL ACCESS	Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE
1385309231	1090001	1.284	1.477	1.578	1.509		        Simply Market	        SIMPLY MARKET	LE GRAND RIVOLET 01090 MONTCEAUX
1385305775	1100001	1.263	1.455	1.435		0.840	        Géant	        GEANT CASINO	ROUTE DE DORTAN 01100 ARBENT
1385303129	1100002	1.263	1.455		1.542		        Carrefour Market	        Carrefour Market	Rue Brillat-Savarin 01100 OYONNAX
1385292514	1100003	1.374		1.507	1.587	0.880	        Total	        RELAIS DES CRETETS	174 Cours de Verdun 01100 OYONNAX
1385289851	1100004	1.379	1.569		1.609		        Avia	        STATION SERVICE AVIA	886 AVENUE JEAN COUTTY 01100 ARBENT - OYONNAX
1385289657	1100006	1.263	1.455				        Intermarché	        DB OYONNAX	74 Rue Jules Michelet 01100 OYONNAX
1385314412	1110001	1.310	1.500		1.530		        Carrefour Market	        Carrefour Market	Rue Massonod 01110 HAUTEVILLE-LOMPNES
1385309504	1120002	1.439		1.579	1.659		        Total	        RELAIS DE DAGNEUX	AUTOROUTE A 42 01120 DAGNEUX
1385310647	1120004								
1385294454	1120005	1.286	1.479	1.441	1.535		        Intermarché	        INTERMARCHE LA BOISSE-MONTLUEL	Route de Thil 01120 LA BOISSE
1385313656	1120006	1.390		1.560	1.640		        Total	        GARAGE DE LA BOISSE	521 ROUTE NATIONALE 01120 LA BOISSE
