timestamp	id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
1386847728	1000001	1.304	1.499		1.535		        Carrefour Market	        Carrefour Market	ROUTE NATIONALE 01000 SAINT-DENIS-LÈS-BOURG
1386859909	1000002	1.304	1.499		1.535		        Carrefour Market	        Carrefour Market	16 Avenue de Marboz 01000 BOURG-EN-BRESSE
1386863295	1000004								
1386851942	1000005	1.410		1.500	1.590		        Total	        RELAIS DES VAVRES	642 Avenue de Trévoux 01000 SAINT-DENIS-LÈS-BOURG
1386851646	1000006	1.309	1.529		1.569		        Casino	        CASINO SUPERMARCHE	1 Boulevard John Kennedy 01000 BOURG-EN-BRESSE
1386860723	1000007								
1386861127	1000008								
1386844172	1000009	1.304	1.499	1.458	1.535		        Intermarché	        INTERMARCHE BOURG EN BRESSE	56 Rue du Stand 01000 BOURG-EN-BRESSE
1386842718	1000010	1.304		1.457	1.543		        Total Access	        TOTAL ACCESS	Boulevard Charles de Gaulle 01000 BOURG-EN-BRESSE
1386849656	1090001	1.299	1.495	1.489	1.524		        Simply Market	        SIMPLY MARKET	LE GRAND RIVOLET 01090 MONTCEAUX
1386838754	1100001	1.285	1.475	1.455		0.840	        Géant	        GEANT CASINO	ROUTE DE DORTAN 01100 ARBENT
1386840996	1100002	1.285	1.475		1.542		        Carrefour Market	        Carrefour Market	Rue Brillat-Savarin 01100 OYONNAX
1386849820	1100003	1.379		1.523	1.603	0.880	        Total	        RELAIS DES CRETETS	174 Cours de Verdun 01100 OYONNAX
1386852746	1100004	1.379	1.569		1.609		        Avia	        STATION SERVICE AVIA	886 AVENUE JEAN COUTTY 01100 ARBENT - OYONNAX
1386852995	1100006	1.285	1.475				        Intermarché	        DB OYONNAX	74 Rue Jules Michelet 01100 OYONNAX
1386844040	1110001	1.300	1.480		1.510		        Carrefour Market	        Carrefour Market	Rue Massonod 01110 HAUTEVILLE-LOMPNES
1386856439	1120002	1.459		1.599	1.679		        Total	        RELAIS DE DAGNEUX	AUTOROUTE A 42 01120 DAGNEUX
1386845206	1120004	1.304	1.494		1.545		        Système U	        SUPER U MONTLUEL	Cours de la Portelle 01120 MONTLUEL
1386846858	1120005	1.256	1.489	1.449	1.539		        Intermarché	        INTERMARCHE LA BOISSE-MONTLUEL	Route de Thil 01120 LA BOISSE
1386866834	1120006								
1386838347	1120007	1.469		1.599	1.679		        Shell	        SHELL	AUTOROUTE A42, AIRE DE LYON-DAGNEUX 01120 DAGNEUX
1386858686	1130001	1.312		1.487	1.532		        Elf	        RELAIS ELF  RESIDENCE	ROUTE DE LA CLUSE 01130 NANTUA
1386849441	1130002	1.371	1.555		1.593		        Avia	        SARL GARAGE MEUNIER	Moulin de Charix 01130 LALLEYRIAT
1386842684	1140001	1.329	1.499		1.549		        Carrefour Contact	        CARREFOUR CONTACT	LES HUGUETS 01140 SAINT-DIDIER-SUR-CHALARONNE
1386866484	1150001								
1386858711	1150002	1.370		1.537	1.617		        Total	        TOTAL SAINT VULBAS	Avenue Charles de Gaulle 01150 SAINT-VULBAS
1386840804	1160001	1.307		1.452			        Total Access	        RELAIS DU CHENE	Route de bourg 01160 PONT-D&#039;AIN
1386843231	1160002	1.300	1.480	1.450	1.510		        Système U	        SUPER U	Le Pont Rompu - RD 1084 01160 PONT-D&#039;AIN
1386854040	1160003	1.315	1.499		1.515		        Ecomarché	        ECOMARCHE NEUVILLE SUR AIN	Rue du Docteur Hubert 01160 NEUVILLE-SUR-AIN
1386845968	1170001	1.305	1.489		1.510		        Carrefour	        CARREFOUR SEGNY	RN5 01170 SÉGNY
1386846444	1170002	1.338	1.504		1.534		        Carrefour Market	        Carrefour Market	Lieu-Dit les Vertes Campagnes 01170 GEX
1386839090	1170003	1.330	1.520		1.540		        Intermarché	        INTERMARCHE GEX	Route de Divonne les Bains 01170 GEX
1386855613	1170005	1.359	1.549		1.592		        Avia	        Station des Tilleuls	Avenue des Tilleuls 01170 GEX
1386843482	1190001	1.330	1.519		1.510		        Atac	        ATAC Saint Bénigne	PAE Pont de Vaux Est 01190 SAINT BÉNIGNE
1386859332	1200001	1.319	1.499		1.539		        Carrefour Market	        Carrefour Market	69 Rue de la République 01200 BELLEGARDE-SUR-VALSERINE
1386863402	1200003								
1386860187	1210001	1.315	1.495		1.529		        Carrefour	        CARREFOUR FERNEY VOLTAIRE	Chemin de la Brunette 01210 FERNEY-VOLTAIRE
1386861883	1210002								
1386857496	
