1386924118	1230002	1.380	1.560		1.590		        Avia	        SARL MATHY GARAGE DE L EUROPE	38 AVENUE DE L EUROPE 01230 SAINT-RAMBERT-EN-BUGEY
1386924392	1230003	1.390	1.560		1.590		        Elan	        STATION ELAN GARAGE BOLLEY	RD 1504 01230 TORCIEU
1386924463	1240001	1.430	1.620				        Indépendant sans enseigne	        GARAGE CHAUDIER	LE BOURG 01240 DOMPIERRE-SUR-VEYLE
1386924360	1250001	1.474		1.604	1.684	0.960	        Total	        RELAIS BOURG JASSERON	A 40 - AIRE DE BOURG JASSERON 01250 JASSERON
1386924419	1250002	1.480		1.610		0.960	        BP	        BP A40 AIRE DE BOURG TEYSONGUE	AIRE DE BOURG TEYSONGUE A 40 01250 CEYZÉRIAT
1386924557	1250004	1.349	1.559				        Avia	        AVIA	route de la Vavrette 01250 TOSSIAT
1386924277	1270002	1.409	1.589		1.619		        Avia	        Station des sens	Grande Rue 01270 COLIGNY
1386924245	1290001	1.320	1.490		1.530		        Système U	        SUPER U	Route de Chatillon Sur Chalaronne 01290 LAIZ
1386924275	1300001	1.319	1.502		1.529		        Carrefour Market	        Carrefour Market	ZAC DE L#039;OUSSON 01300 BELLEY
1386924554	1300002	1.309	1.499		1.519		        Simply Market	        SIMPLY MARKET	Rue Mante 01300 BELLEY
1386924509	1300003	1.308	1.498		1.526		        Intermarché	        INTERMARCHE CHAZEY BONS	RN 504 - ZI de Penaye 01300 CHAZEY-BONS
1386924479	1310001	1.375	1.594	1.554	1.634		        Total	        GARAGE GUIGUE SA	1123 Route de Mâcon 01310 POLLIAT
1386924235	1320001	1.420	1.600				        Elan	        SARL JACQUET AUTOMOBILES	Grande Rue 01320 CHALAMONT
1386924407	1320002	1.310	1.519	1.481			        Casino	        DISTRIBUTION CASINO FRANCE	Chemin du Petit Étang 01320 CHALAMONT
1386924368	1330001	1.429	1.589		1.649		        Total	        SARL BUTILLON	245, Route du 3 Septembre 1944 01330 AMBÉRIEUX-EN-DOMBES
1386924427	1330002	1.299	1.479	1.449	1.539		        Système U	        super u	zac de la tuilerie 01330 VILLARS-LES-DOMBES
1386924285	1340001	1.299	1.493		1.529		        Carrefour Market	        Carrefour Market	Rue des Luyers 01340 MONTREVEL-EN-BRESSE
1386924424	1340002	1.415		1.543	1.623		        Total	        SARL GOYARD	RN.75 01340 MALAFRETAZ
1386924411	1340003	1.299	1.493		1.529		        Intermarché	        INTERMARCHE MONTREVEL EN BRESSE	Les Cézilles 01340 JAYAT
1386924259	1340004	1.375	1.583				        Dyneff	        GARAGE DES PRÉS	771 Route de Bourg 01340 ATTIGNAT
